epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5824615359306335,0.0010000000474974513,1.049562692642212,0.7639999985694885,0.5326216816902161
1,0.6972307562828064,0.0010000000474974513,0.7790392637252808,0.7879999876022339,0.5385556817054749
2,0.7181538343429565,0.0010000000474974513,0.7304226160049438,0.8320000171661377,0.4469914138317108
3,0.7250769138336182,0.0010000000474974513,0.7032803297042847,0.843999981880188,0.4019107520580292
4,0.7330769300460815,0.0010000000474974513,0.698899507522583,0.828000009059906,0.4443792998790741
5,0.7407692074775696,0.0010000000474974513,0.6738168597221375,0.8159999847412109,0.4338861405849457
6,0.734000027179718,0.0010000000474974513,0.680460512638092,0.7919999957084656,0.5526800751686096
7,0.7436922788619995,0.0005000000237487257,0.6588581204414368,0.8240000009536743,0.44118064641952515
8,0.7516922950744629,0.0005000000237487257,0.6527194380760193,0.8240000009536743,0.42204535007476807
9,0.7567692399024963,0.0005000000237487257,0.6445674300193787,0.7879999876022339,0.474238783121109
10,0.7590768933296204,0.0002500000118743628,0.6248558163642883,0.8119999766349792,0.4434826970100403
11,0.7532307505607605,0.0002500000118743628,0.637547492980957,0.8159999847412109,0.4762279987335205
12,0.7580000162124634,0.0002500000118743628,0.6258594989776611,0.8159999847412109,0.454477995634079
13,0.7580000162124634,0.0001250000059371814,0.6198965311050415,0.8119999766349792,0.4396662712097168
14,0.7599999904632568,0.0001250000059371814,0.6203445196151733,0.8159999847412109,0.43809378147125244
15,0.7635384798049927,0.0001250000059371814,0.6185091733932495,0.8080000281333923,0.4431258738040924
16,0.7652307748794556,6.25000029685907e-05,0.6071413159370422,0.8199999928474426,0.4388073980808258
17,0.7596923112869263,6.25000029685907e-05,0.6199641823768616,0.8159999847412109,0.4332234263420105
18,0.7586153745651245,6.25000029685907e-05,0.6385355591773987,0.8119999766349792,0.4447844922542572
19,0.7589230537414551,3.125000148429535e-05,0.6141928434371948,0.8159999847412109,0.43616485595703125
20,0.7613846063613892,3.125000148429535e-05,0.6175020933151245,0.8159999847412109,0.44052213430404663
21,0.760769248008728,3.125000148429535e-05,0.6126493215560913,0.8159999847412109,0.43882009387016296
22,0.7633846402168274,1.5625000742147677e-05,0.6093700528144836,0.8159999847412109,0.4432745575904846
23,0.7692307829856873,1.5625000742147677e-05,0.6035987734794617,0.8159999847412109,0.44404366612434387
24,0.7639999985694885,1.5625000742147677e-05,0.6141853928565979,0.8119999766349792,0.444376677274704
25,0.7169230580329895,9.999999747378752e-05,0.7405697703361511,0.828000009059906,0.5717477202415466
26,0.7490769028663635,9.999999747378752e-05,0.6610739231109619,0.7960000038146973,0.7250446081161499
27,0.7641538381576538,9.999999747378752e-05,0.6101507544517517,0.8240000009536743,0.6877054572105408
28,0.7772307395935059,9.999999747378752e-05,0.5848051905632019,0.8119999766349792,0.649931788444519
29,0.7829231023788452,4.999999873689376e-05,0.5676981210708618,0.8159999847412109,0.6383588910102844
30,0.7967692017555237,4.999999873689376e-05,0.5356701016426086,0.8360000252723694,0.5617685914039612
